id,app_name,user_id,session_id,invocation_id,author,branch,timestamp,content,actions,long_running_tool_ids_json,grounding_metadata,partial,turn_complete,error_code,error_message,interrupted
0fHYHf4B,agent_postgresql_conn_bayer1111,agent_postgresql_conn_bayer_user_011111,agent_postgresql_conn_bayer_session_user_011111,e-af2dbaf7-f4c9-4413-b121-1197b5755411,user,,2025-07-03 19:20:48.124315,"{""role"": ""user"", ""parts"": [{""text"": ""holaaaa""}]}",277 bytes,,null,,,,,
1ygcHBMp,agent_postgresql_conn_bayer1111,agent_postgresql_conn_bayer_user_011111,agent_postgresql_conn_bayer_session_user_011111,e-889f5b43-28d4-44a3-93cb-595f0659e6fb,user,,2025-07-03 19:02:13.747476,"{""role"": ""user"", ""parts"": [{""text"": ""hola""}]}",277 bytes,,null,,,,,
32VQCmZb,agent_postgresql_conn_bayer11,agent_postgresql_conn_bayer_user_0111,agent_postgresql_conn_bayer_session_user_0111,e-34b16cdf-15e6-427c-85ee-a6485c0c1309,user,,2025-07-03 18:42:37.392201,"{""role"": ""user"", ""parts"": [{""text"": ""holaaaa""}]}",277 bytes,,null,,,,,
4VwbY4KK,agent_postgresql_conn_bayer1,agent_postgresql_conn_bayer_user_011,agent_postgresql_conn_bayer_session_user_011,e-35c31bd6-2287-4477-ac07-0bfabf600f9b,user,,2025-07-03 18:22:16.572854,"{""role"": ""user"", ""parts"": [{""text"": ""hola""}]}",277 bytes,,null,,,,,
55kU4JU8,agent_postgresql_conn_bayer111,agent_postgresql_conn_bayer_user_01111,agent_postgresql_conn_bayer_session_user_01111,e-2e897f81-59a7-4eea-81f4-689406f70d09,user,,2025-07-03 18:47:25.280499,"{""role"": ""user"", ""parts"": [{""text"": ""hola""}]}",277 bytes,,null,,,,,
5P7qz7hH,agent_postgresql_conn_bayer111,agent_postgresql_conn_bayer_user_01111,agent_postgresql_conn_bayer_session_user_01111,e-867ddee0-02ac-4773-a345-b862b2e07666,SQLResultsInterpreterAgent,,2025-07-03 18:47:58.823261,"{""role"": ""model"", ""parts"": [{""text"": ""Hola! Necesito que me indiques qué información necesitas sobre las ventas de Bayer Argentina. ¿Tienes alguna pregunta específica o área en la que te gustaría que te ayude?""}]}",285 bytes,,null,false,,,,
5YM11Trc,agent_postgresql_conn_bayer1,agent_postgresql_conn_bayer_user_011,agent_postgresql_conn_bayer_session_user_011,e-0ba933f7-d1d8-401d-847a-0ce17602a515,user,,2025-07-03 18:22:28.799602,"{""role"": ""user"", ""parts"": [{""text"": ""holaa""}]}",277 bytes,,null,,,,,
6toukEm7,agent_postgresql_conn_bayer,agent_postgresql_conn_bayer_user_01,agent_postgresql_conn_bayer_session_user_01,e-54881ee0-7f82-4d45-bb5b-18ede427f544,user,,2025-07-03 18:18:48.002533,"{""role"": ""user"", ""parts"": [{""text"": ""hola""}]}",277 bytes,,null,,,,,
6YWN6NNP,agent_postgresql_conn_bayer1,agent_postgresql_conn_bayer_user_011,agent_postgresql_conn_bayer_session_user_011,e-0538b2a7-7b35-41ba-91f7-852356bef31f,SQLResultsInterpreterAgent,,2025-07-03 18:23:22.059342,"{""role"": ""model"", ""parts"": [{""text"": ""Hola! Por favor, dime qué información necesitas sobre las ventas de Bayer Argentina. ¿Tienes alguna pregunta en particular?""}]}",285 bytes,,null,false,,,,
7nAwUWmy,agent_postgresql_conn_bayer1,agent_postgresql_conn_bayer_user_011,agent_postgresql_conn_bayer_session_user_011,e-0ba933f7-d1d8-401d-847a-0ce17602a515,SQLResultsInterpreterAgent,,2025-07-03 18:22:30.521475,"{""role"": ""model"", ""parts"": [{""text"": ""¡Hola! ¿Qué información sobre las ventas de Bayer Argentina necesitas?""}]}",285 bytes,,null,false,,,,
